# Global Synthesis of Marine Radiocarbon Data Over the last 40,000 years
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/21390
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/zhao2017/zhao2017-c14.txt
#
# Archive: Paleoceanography
#
# Parameter_Keywords: radiocarbon
#---------------------------------------
# Contribution_Date
#    Date: 2017-02-06
#---------------------------------------
# File_Last_Modified_Date
#	Date: 2020-12-23
#--------------------
# Title
#    Study_Name: Global Synthesis of Marine Radiocarbon Data Over the last 40,000 years
#---------------------------------------
# Investigators
#      Investigators: Zhao, N.; Marchal, O.; Keigwin, L.; Amrhein, D.; Gebbie, G.
#---------------------------------------
# Description and Notes
#        Description: Global marine radiocarbon data for the last 40,000 years.  
#	 PF=Planktonic Foraminifera  BF=Benthic Foraminifera 
#	 08-Jun-2017: Additional data values added, and citation updated. 
#	 29-Jan-2018: Updates to the publication metadata and the data table.
#	 23-Dec-2020: Additional records added in 2016-2020 archived.
#         Provided Keywords: Deep Ocean Ventilation, the Last Deglaciation, Synthesis, Inverse Methods
#---------------------------------------
# Publication
# Authors: Ning Zhao, Olivier Marchal, Lloyd Keigwin, Daniel Amrhein, Geoffrey Gebbie
# Published_Date_or_Year: 2018-02-01
# Published_Title: A Synthesis of Deglacial Deep-sea Radiocarbon Records and Their (In)Consistency with Modern Ocean Ventilation
# Journal_Name: Paleoceanography and Paleoclimatology
# Volume: 33
# Edition: 
# Issue: 2
# Pages: 128-151
# Report Number: 
# DOI: 10.1002/2017PA003174
# Online_Resource: https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017PA003174
# Full_Citation: 
# Abstract: We present a synthesis of 1,361 deep‐sea radiocarbon data spanning the past 40 kyr and computed (for 14C‐dated records) from the same calibration to atmospheric 14C. The most notable feature in our compilation is a long‐term D14C decline in deep oceanic basins over the past 25 kyr. The D14C decline mirrors the drop in reconstructed atmospheric D14C, suggesting that it may reflect a decrease in global 14C inventory rather than a redistribution of 14C among different reservoirs. Motivated by this observation, we explore the extent to which the deep water D14C data jointly require changes in basin‐scale ventilation during the last deglaciation, based on the fit of a 16‐box model of modern ocean ventilation to the deep water D14C records. We find that the fit residuals can largely be explained by data uncertainties and that the surface water D14C values producing the fit are within the bounds provided by contemporaneous values of atmospheric and deep water D14C. On the other hand, some of the surface D14C values in the northern North Atlantic and the Southern Ocean deviate from the values expected from atmospheric 14CO2 and CO2 concentrations during the Heinrich Stadial 1 and the Bolling-Allerod. The possibility that deep water D14C records reflect some combination of changes in deep circulation and surface water reservoir ages cannot be ruled out and will need to be investigated with a more complete model.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: National Science Foundation
#    Grant: OCE1301907
#---------------------------------------
# Site Information
# Site_Name: Global non-polar
# Location: 
# Country: 
# Northernmost_Latitude: 65
# Southernmost_Latitude: -65
# Easternmost_Longitude: 180
# Westernmost_Longitude: -180
# Elevation: 
#---------------------------------------
# Data_Collection
#   Collection_Name: Global 14C Zhao17
#   First_Year: 39253
#   Last_Year: 9
#   Time_Unit: cal yr BP
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## site.name	sitename,,,,,,,,C,
## ref.	Reference,,,,,,,,C,
## lat.	Latitude,,,degrees N,,,,,N,
## lon.	Longitude,,,degrees E,,,,,N,
## water.depth	Water depth,,,m,,,,,N,
## chro.meth	notes,,, ,,,,,C,The method of deriving calendar age
## mat.dated 	notes,,,,,,,,C,Material dated
## depth.dated	depth,,,cm,,,,,C,
## 14C age	14C age,,,14C yr before 1950AD,,,,,N,
## 14C age_err	14C age,,standard error,14C yr before 1950AD,,,,,N,
## Delta-R 	Deviation from global mean reservoir correction,,,conventional 14C yr,,,,,N,
## Delta-R_err	Deviation from global mean reservoir correction,,standard error,conventional 14C yr,,,,,N,
## calib_method 	notes,,,,,,,,C,Calibration method
## cal.age	calendar age,,,cal yr before 1950AD,,,,,N,
## cal.age_err	calendar age,,standard error,cal yr before 1950AD,,,,,N,
## loc.sample	location,sample core,,cm,,,core (cm) or coral (cm or location),,C,
## species	species,,, ,,,,,C,Species analyzed
## benthic.14C_age	14C age,Benthic Foraminifera or deep-sea coral,,14C yr before 1950AD,,,,,N,
## benthic.14C_age_err	14C age,Benthic Foraminifera or deep-sea coral,standard error,14C yr before 1950AD,,,,,N,
## benthic.D14C	Delta 14C,Benthic Foraminifera or deep-sea coral,,per mil,,,,,N,
## benthic.D14C_err	Delta 14C,Benthic Foraminifera or deep-sea coral,standard error,per mil,,,,,N,
## ams	notes,,, ,,,,,C,AMS facility where analysis was made
## notes	Notes,Notes,,,,,,,C,
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: NA
site.name	ref.	lat.	lon.	water.depth	chro.meth	mat.dated 	depth.dated	14C age	14C age_err 	Delta-R 	Delta-R_err	calib_method 	cal.age	cal.age_err	loc.sample	species	benthic.14C_age	benthic.14C_age_err	benthic.D14C	benthic.D14C_err	ams	notes
HLY0503-18TC	Hanslik et al. (2010)	88.45	146.57	2598	PF 14C	N. pachyderma (s.)	0.9	2690	70	150	0	Marine20	2039	114	1.4	mixed benthic	3710	110	-192.6	15.8	Lund	
HLY0503-18TC	Hanslik et al. (2010)	88.45	146.57	2598	PF 14C	N. pachyderma (s.)	7.7	7220	80	150	0	Marine20	7376	95	7.7	C. wuellerstorfi	7930	90	-86.2	14.7	Lund	
HLY0503-18TC	Hanslik et al. (2010)	88.45	146.57	2598	PF 14C	N. pachyderma (s.)	11.2	8795	90	150	0	Marine20	9118	139	11.2	mixed benthic	8890	150	2.2	25.2	Lund	
HLY0503-18TC	Hanslik et al. (2010)	88.45	146.57	2598	PF 14C	N. pachyderma (s.)	27.7	12535	110	850	0	Marine20	12997	125	27.7	mixed benthic	13750	140	-122.9	20.3	Lund	
HH12-946MC	Ezat et al. (2019)	78.88	-1.75	2637	PF 14C	N. pachyderma (s.)	3.75	5620	30	-150	0	Marine20	5988	83	3.75	Oridorsalis umbonatus	5835	30	1.8	10.8	UBA	
HH12-946MC	Ezat et al. (2019)	78.88	-1.75	2637	PF 14C	N. pachyderma (s.)	25.25	18178	90	-150	0	Marine20	21235	183	25.25	Oridorsalis umbonatus	18580	88	309.2	32.5	UBA	
HH12-946MC	Ezat et al. (2019)	78.88	-1.75	2637	PF 14C	N. pachyderma (s.)	25.75	18399	75	-150	0	Marine20	21548	167	25.75	Oridorsalis umbonatus	18511	82	371.7	31.2	UBA	
HH12-946MC	Ezat et al. (2019)	78.88	-1.75	2637	PF 14C	N. pachyderma (s.)	27.25	18765	73	-150	0	Marine20	21993	134	27.25	Oridorsalis umbonatus	18787	95	399.1	28.2	UBA	
HH12-946MC	Ezat et al. (2019)	78.88	-1.75	2637	PF 14C	N. pachyderma (s.)	28.25	19335	77	-150	0	Marine20	22584	139	28.25	Oridorsalis umbonatus	19232	148	422.4	35.6	UBA	
HH12-946MC	Ezat et al. (2019)	78.88	-1.75	2637	PF 14C	N. pachyderma (s.)	32.75	23046	140	-150	0	Marine20	26594	201	32.75	Oridorsalis umbonatus	25327	161	84.6	34.3	UBA	
HH12-946MC	Ezat et al. (2019)	78.88	-1.75	2637	PF 14C	N. pachyderma (s.)	33.75	24741	134	-150	0	Marine20	28211	201	33.75	Oridorsalis umbonatus	26118	170	196.5	38.7	UBA	
HH12-946MC	Ezat et al. (2019)	78.88	-1.75	2637	PF 14C	N. pachyderma (s.)	35.75	28333	225	-150	0	Marine20	31727	313	35.75	Oridorsalis umbonatus	29715	340	172.6	66.7	UBA	
AMD14-204C	Hansen et al. (2020)	73.26	-57.90	987	PF 14C	Mixed species	70.5	1710	50	-10	30	Marine20	1113	87	70.5	mixed benthic	1795	50	-84.3	11.2	ETH	
AMD14-204C	Hansen et al. (2020)	73.26	-57.90	987	PF 14C	Mixed species	310.5	4940	70	-10	30	Marine20	5065	126	310.5	mixed benthic	4950	60	-0.3	17.0	ETH	
AMD14-204C	Hansen et al. (2020)	73.26	-57.90	987	PF 14C	Mixed species	410.5	5825	60	-10	30	Marine20	6053	101	410.5	mixed benthic	5805	60	13.6	14.6	ETH	
AMD14-204C	Hansen et al. (2020)	73.26	-57.90	987	PF 14C	Mixed species	580.5	7005	60	-10	30	Marine20	7325	89	580.5	mixed benthic	7155	70	0.1	13.9	ETH	
PS1243	Thornalley et al. (2015)	69.37	-6.55	2711	PF d18O tied to other cores	Nps	28	8120					8520		28	C. wuellerstorfi	8290	35	4.1	4.4	NOSAMS	
PS1243	Thornalley et al. (2015)	69.37	-6.55	2711	PF d18O tied to other cores	Nps	36	9600					10290		36	C. wuellerstorfi	9530	40	67.2	5.3	NOSAMS	
PS1243	Thornalley et al. (2015)	69.37	-6.55	2711	PF d18O tied to other cores	Nps	45	10630					12020		45	C. wuellerstorfi	18000	100	-541.1	5.7	NOSAMS	
PS1243	Thornalley et al. (2015)	69.37	-6.55	2711	PF d18O tied to other cores								16000		57.5	C. wuellerstorfi	19850	130	-408.6	9.6	NOSAMS	
PS2644	Sarnthein et al. (2015)	67.87	-21.77	777	Plateau tuning	Nps	59	14366	75				15153		59	C. lobatulus/pachyderma	14050	80	98.3	10.9	KIA	
PS2644	Sarnthein et al. (2015)	67.87	-21.77	777	PF 14C	Nps	74	14887	116	1340	0	Marine20	15490	183	74	C. lobatulus/pachyderma	14310	90	107.8	27.5	KIA	
PS2644	Sarnthein et al. (2015)	67.87	-21.77	777	PF 14C	Nps	65	15080	160	1340	0	Marine20	15747	231	65	C. lobatulus/pachyderma	14450	80	123.2	33.4	KIA	
PS2644	Sarnthein et al. (2015)	67.87	-21.77	777	PF 14C	Nps	80	15212	195	1340	0	Marine20	15919	275	80	C. lobatulus/pachyderma	14720	90	109.0	39.1	KIA	
PS2644	Sarnthein et al. (2015)	67.87	-21.77	777	PF 14C	Nps	89	15375	121	1115	0	Marine20	16426	190	89	C. lobatulus/pachyderma	15150	90	118.1	28.7	KIA	
PS2644	Sarnthein et al. (2015)	67.87	-21.77	777	PF 14C	Nps	96	16500	85	1225	0	Marine20	17673	160	96	Mixed BF	15440	90	255.0	28.2	KIA	
PS2644	Sarnthein et al. (2015)	67.87	-21.77	777	PF 14C	Nps	105	17500	100	1370	0	Marine20	18609	148	105	Mixed BF	16950	100	165.3	25.5	KIA	
PS2644	Sarnthein et al. (2015)	67.87	-21.77	777	PF 14C	Nps	107	17618	113	1370	0	Marine20	18753	168	107	C. lobatulus/pachyderma	15790	120	370.1	34.6	KIA	
